iter	Passed	Remaining
468	721	817
469	723	815
470	724	813
471	725	811
472	726	809
473	727	807
474	729	805
475	730	803
476	731	802
477	732	800
478	733	798
479	735	796
480	736	794
481	737	792
482	739	791
483	740	789
484	741	787
485	742	785
486	743	783
487	745	781
488	746	779
489	747	778
490	749	776
491	750	774
492	752	773
493	754	772
494	755	770
495	756	768
496	757	767
497	759	765
498	760	763
499	761	761
500	763	760
501	764	758
502	765	756
503	766	754
504	767	752
505	769	750
506	770	749
507	771	747
508	773	745
509	774	743
510	775	742
511	776	740
512	778	738
513	779	736
514	780	734
515	781	732
516	782	731
517	783	729
518	785	727
519	786	725
520	787	723
521	788	722
522	789	720
523	790	718
524	792	716
525	793	714
526	794	712
527	795	711
528	796	709
529	797	707
530	798	705
531	799	703
532	800	701
533	801	699
534	802	697
535	803	695
536	804	693
537	805	691
538	806	689
539	807	687
540	808	685
541	809	684
542	810	682
543	811	680
544	812	678
545	813	676
546	814	674
547	815	672
548	816	670
549	817	668
550	818	667
551	819	665
552	820	663
553	821	661
554	822	659
555	823	658
556	825	656
557	826	654
558	827	652
559	828	650
560	829	648
561	830	646
562	831	645
563	832	643
564	833	641
565	834	639
566	835	638
567	836	636
568	837	634
569	839	632
570	840	631
571	841	629
572	842	627
573	843	626
574	844	624
575	845	622
576	847	621
577	848	619
578	849	617
579	850	616
580	851	614
581	852	612
582	854	610
583	855	609
584	856	607
585	857	605
586	858	603
587	859	602
588	860	600
589	861	598
590	862	596
591	863	594
592	864	593
593	865	591
594	866	589
595	867	588
596	868	586
597	870	584
598	871	583
599	872	581
600	873	579
601	874	578
602	875	576
603	876	574
604	877	573
605	878	571
606	880	569
607	881	568
608	882	566
609	883	564
610	884	563
611	885	561
612	886	559
613	887	558
614	888	556
615	889	554
616	891	553
617	892	551
618	893	549
619	894	548
620	895	546
621	896	544
622	897	543
623	898	541
624	899	539
625	900	538
626	901	536
627	903	534
628	904	533
629	905	531
630	906	530
631	907	528
632	908	526
633	910	525
634	911	523
635	912	522
636	913	520
637	914	519
638	916	517
639	917	515
640	918	514
641	919	512
642	920	511
643	921	509
644	922	507
645	923	506
646	924	504
647	925	502
648	926	501
649	927	499
650	928	497
651	929	496
652	930	494
653	931	492
654	932	491
655	933	489
656	935	488
657	936	486
658	937	485
659	939	483
660	940	482
661	941	480
662	942	479
663	943	477
664	945	476
665	946	474
666	947	473
667	948	471
668	949	469
669	951	468
670	952	466
671	953	465
672	954	463
673	955	462
674	956	460
675	957	459
676	958	457
677	960	455
678	961	454
679	962	452
680	963	451
681	964	449
682	965	448
683	966	446
684	967	444
685	968	443
686	969	441
687	970	440
688	971	438
689	972	437
690	974	435
691	975	434
692	976	432
693	977	430
694	978	429
695	979	427
696	980	426
697	981	424
698	982	423
699	984	421
700	985	420
701	986	418
702	987	417
703	988	415
704	989	414
705	990	412
706	991	410
707	992	409
708	993	407
709	994	406
710	995	404
711	996	403
712	997	401
713	998	400
714	999	398
715	1001	397
716	1002	395
717	1003	394
718	1004	392
719	1005	391
720	1006	389
721	1008	388
722	1009	386
723	1010	385
724	1011	383
725	1012	382
726	1013	380
727	1014	379
728	1016	377
729	1017	376
730	1018	374
731	1020	373
732	1021	371
733	1022	370
734	1023	369
735	1025	367
736	1026	366
737	1027	364
738	1028	363
739	1029	361
740	1031	360
741	1032	358
742	1033	357
743	1034	356
744	1035	354
745	1037	353
746	1038	351
747	1039	350
748	1040	348
749	1041	347
750	1043	345
751	1044	344
752	1045	342
753	1046	341
754	1047	339
755	1048	338
756	1049	336
757	1051	335
758	1052	334
759	1053	332
760	1054	331
761	1055	329
762	1056	328
763	1058	326
764	1059	325
765	1060	324
766	1061	322
767	1062	321
768	1063	319
769	1065	318
770	1066	316
771	1067	315
772	1069	313
773	1070	312
774	1071	310
775	1072	309
776	1073	308
777	1074	306
778	1075	305
779	1076	303
780	1077	302
781	1078	300
782	1080	299
783	1081	297
784	1082	296
785	1083	294
786	1084	293
787	1085	292
788	1086	290
789	1087	289
790	1088	287
791	1089	286
792	1090	284
793	1091	283
794	1092	281
795	1094	280
796	1095	278
797	1096	277
798	1097	276
799	1099	274
800	1100	273
801	1102	272
802	1103	270
803	1104	269
804	1105	267
805	1106	266
806	1108	264
807	1109	263
808	1110	262
809	1111	260
810	1112	259
811	1114	257
812	1115	256
813	1116	255
814	1117	253
815	1119	252
816	1120	250
817	1121	249
818	1123	248
819	1124	246
820	1125	245
821	1126	244
822	1128	242
823	1129	241
824	1130	239
825	1132	238
826	1133	237
827	1134	235
828	1136	234
829	1137	233
830	1138	231
831	1140	230
832	1141	228
833	1142	227
834	1144	226
835	1145	224
836	1146	223
837	1147	221
838	1149	220
839	1150	219
840	1151	217
841	1153	216
842	1154	214
843	1155	213
844	1156	212
845	1158	210
846	1160	209
847	1161	208
848	1163	206
849	1164	205
850	1165	204
851	1167	202
852	1168	201
853	1169	200
854	1171	198
855	1172	197
856	1175	196
857	1176	194
858	1177	193
859	1179	191
860	1180	190
861	1181	189
862	1183	187
863	1184	186
864	1185	184
865	1186	183
866	1187	182
867	1188	180
868	1190	179
869	1191	178
870	1192	176
871	1193	175
872	1195	173
873	1197	172
874	1198	171
875	1199	169
876	1201	168
877	1203	167
878	1205	165
879	1206	164
880	1208	163
881	1209	161
882	1211	160
883	1212	159
884	1213	157
885	1214	156
886	1216	154
887	1217	153
888	1219	152
889	1220	150
890	1221	149
891	1223	148
892	1224	146
893	1225	145
894	1226	143
895	1227	142
896	1229	141
897	1230	139
898	1231	138
899	1233	137
900	1234	135
901	1235	134
902	1236	132
903	1237	131
904	1239	130
905	1240	128
906	1241	127
907	1242	125
908	1243	124
909	1245	123
910	1246	121
911	1247	120
912	1248	119
913	1249	117
914	1251	116
915	1252	114
916	1253	113
917	1254	112
918	1255	110
919	1256	109
920	1258	107
921	1259	106
922	1260	105
923	1261	103
924	1262	102
925	1263	101
926	1265	99
927	1266	98
928	1267	96
929	1269	95
930	1270	94
931	1272	92
932	1274	91
933	1276	90
934	1278	88
935	1279	87
936	1283	86
937	1284	84
938	1286	83
939	1287	82
940	1288	80
941	1290	79
942	1291	78
943	1292	76
944	1294	75
945	1295	73
946	1297	72
947	1298	71
948	1299	69
949	1300	68
950	1302	67
951	1303	65
952	1305	64
953	1306	63
954	1308	61
955	1309	60
956	1311	58
957	1312	57
958	1314	56
959	1316	54
960	1319	53
961	1321	52
962	1322	50
963	1323	49
964	1326	48
965	1328	46
966	1329	45
967	1331	44
968	1333	42
969	1334	41
970	1336	39
971	1337	38
972	1339	37
973	1340	35
974	1341	34
975	1343	33
976	1344	31
977	1346	30
978	1347	28
979	1349	27
980	1350	26
981	1352	24
982	1353	23
983	1355	22
984	1357	20
985	1358	19
986	1359	17
987	1361	16
988	1363	15
989	1364	13
990	1365	12
991	1367	11
992	1370	9
993	1371	8
994	1373	6
995	1374	5
996	1375	4
997	1377	2
998	1378	1
999	1380	0
